ds,SPY_Close,SPY_Volume,event
2020-01-02,300.2916564941406,59151200,none event
2020-01-03,298.0177001953125,77709700,ISM
2020-01-06,299.15460205078125,55653900,none event
2020-01-07,298.3134765625,40496400,none event
2020-01-08,299.9033203125,68296000,none event
2020-01-09,301.9368896484375,48473300,none event
2020-01-10,301.0679931640625,53029300,nonfarm payroll
2020-01-13,303.1385803222656,47086800,none event
2020-01-14,302.6763916015625,62832800,PPI
2020-01-15,303.3604431152344,72056600,CPI
2020-01-16,305.8838195800781,54050300,none event
2020-01-17,306.83599853515625,95846000,none event
2020-01-21,306.2351379394531,77742400,none event
2020-01-22,306.2720947265625,48914900,none event
2020-01-23,306.6233215332031,51963000,none event
2020-01-24,303.8964538574219,87578400,none event
2020-01-27,299.0252990722656,84062500,none event
2020-01-28,302.1588134765625,63834000,none event
2020-01-29,301.90911865234375,53888900,interest rate decision
2020-01-30,302.88897705078125,75491800,none event
2020-01-31,297.38916015625,113845600,none event
2020-02-03,299.5983581542969,69083000,ISM
2020-02-04,304.16461181640625,62573200,none event
2020-02-05,307.6770324707031,65951100,none event
2020-02-06,308.71234130859375,50359700,none event
2020-02-07,307.0669860839844,64139400,nonfarm payroll
2020-02-10,309.35931396484375,42070000,none event
2020-02-11,309.8955383300781,54864500,none event
2020-02-12,311.8921203613281,43992700,none event
2020-02-13,311.5593566894531,54501900,none event
2020-02-14,312.0584411621094,64582200,PPI
2020-02-18,311.2542724609375,57226200,none event
2020-02-19,312.742431640625,48814700,interest rate decision
2020-02-20,311.4576416015625,74163400,none event
2020-02-21,308.2500915527344,113788200,none event
2020-02-24,298.0269470214844,161088400,none event
2020-02-25,288.9960632324219,218913200,none event
2020-02-26,287.9330749511719,194773800,none event
2020-02-27,275.0014953613281,284353500,none event
2020-02-28,273.8460998535156,384975800,none event
2020-03-02,285.7054138183594,238703600,ISM
2020-03-03,277.5249938964844,300139100,none event
2020-03-04,289.190185546875,176613400,none event
2020-03-05,279.5770568847656,186366800,none event
2020-03-06,274.95526123046875,228667200,nonfarm payroll
2020-03-09,253.48280334472656,309417300,none event
2020-03-10,266.5992126464844,276444100,none event
2020-03-11,253.60293579101562,255316300,none event
2020-03-12,229.3389129638672,392220700,PPI
2020-03-13,248.9442138671875,329566100,none event
2020-03-16,221.70387268066406,297240000,none event
2020-03-17,233.67410278320312,262070500,none event
2020-03-18,221.84254455566406,327597100,interest rate decision
2020-03-19,222.3138885498047,289322000,none event
2020-03-20,212.7334747314453,347158800,none event
2020-03-23,207.29428100585938,326025200,none event
2020-03-24,226.07582092285156,235494500,none event
2020-03-25,229.460205078125,299430300,none event
2020-03-26,242.85833740234375,257632800,none event
2020-03-27,235.6246337890625,224341200,none event
2020-03-30,243.2767333984375,171369500,none event
2020-03-31,239.6505889892578,194881100,none event
2020-04-01,228.8651580810547,189554600,ISM
2020-04-02,234.14630126953125,177660400,none event
2020-04-03,230.76190185546875,135561200,nonfarm payroll
2020-04-06,246.26133728027344,188061200,none event
2020-04-07,246.5124053955078,201427200,none event
2020-04-08,254.78738403320312,153774500,none event
2020-04-09,258.6645812988281,189999200,PPI
2020-04-13,256.302978515625,114839100,none event
2020-04-14,263.86199951171875,134143400,none event
2020-04-15,258.25543212890625,121775000,none event
2020-04-16,259.5013732910156,131798300,none event
2020-04-17,266.51190185546875,146684800,none event
2020-04-20,261.8164978027344,100109300,none event
2020-04-21,253.8669891357422,126385700,none event
2020-04-22,259.5013732910156,92951600,none event
2020-04-23,259.4827575683594,104709700,none event
2020-04-24,263.0997009277344,85063200,none event
2020-04-27,266.8930969238281,77896600,none event
2020-04-28,265.6658020019531,105270000,none event
2020-04-29,272.62054443359375,118745600,interest rate decision
2020-04-30,270.0822448730469,122901700,none event
2020-05-01,262.9322509765625,125180000,ISM
2020-05-04,263.65753173828125,80873200,none event
2020-05-05,266.0935363769531,79569900,none event
2020-05-06,264.28973388671875,73632600,none event
2020-05-07,267.4788818359375,75250400,none event
2020-05-08,271.9046325683594,76452400,nonfarm payroll
2020-05-11,271.9604187011719,79514200,none event
2020-05-12,266.539794921875,95870800,none event
2020-05-13,261.8258056640625,144721100,PPI
2020-05-14,264.9591979980469,121977900,none event
2020-05-15,266.1771545410156,111146300,none event
2020-05-18,274.28485107421875,119703800,none event
2020-05-19,271.4676818847656,95189300,none event
2020-05-20,276.0792541503906,85861700,none event
2020-05-21,274.17333984375,78293900,none event
2020-05-22,274.6939697265625,63958200,none event
2020-05-26,278.0783996582031,88951400,none event
2020-05-27,282.21588134765625,104817400,none event
2020-05-28,281.69525146484375,90405200,none event
2020-05-29,282.950439453125,119090800,none event
2020-06-01,284.093994140625,55758300,ISM
2020-06-02,286.4463806152344,74267200,none event
