ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc,isr_holiday
2017-01-03,196.69717407226562,91366500,1,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-04,197.8673553466797,78744400,1,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-05,197.7101287841797,78379000,1,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-06,198.41751098632812,71559900,1,6,none event,156K,none event,none event,0.047,none event,none event,,,,,,,-1.0,-1.0,0.0,1.0,,,,,1,,0
2017-01-09,197.76255798339844,46939700,1,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-10,197.76255798339844,63771900,1,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-11,198.3214569091797,74650000,1,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-12,197.8236846923828,72113200,1,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-13,198.27781677246094,62717900,1,13,none event,none event,none event,0.016,none event,none event,none event,,,,,0.0,1.0,,,,,,,,,1,,0
2017-01-17,197.57916259765625,61240800,1,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-18,198.01576232910156,54793300,1,18,none event,none event,0.021,none event,none event,none event,none event,0.0,1.0,,,,,,,,,,,,,1,,0
2017-01-19,197.2822723388672,66608800,1,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-20,198.00698852539062,129168600,1,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-23,197.49180603027344,75061600,1,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-24,198.758056640625,95555300,1,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-25,200.4784393310547,84437700,1,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-26,200.26882934570312,59970700,1,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-27,199.9545135498047,59711100,1,27,0.019,none event,none event,none event,none event,none event,none event,,,-1.0,-1.0,,,,,,,,,,,1,,1
2017-01-30,198.71441650390625,79737300,1,30,none event,none event,none event,none event,none event,0.017,none event,,,,,,,,,,,0.0,0.0,,,1,,0
2017-01-31,198.69696044921875,75880800,1,31,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-02-01,198.77557373046875,79117700,2,1,none event,none event,none event,none event,none event,none event,0.0075,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2017-02-02,198.90655517578125,69657600,2,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2017-02-03,200.27757263183594,80563200,2,3,none event,227K,none event,none event,0.048,none event,none event,,,,,,,1.0,1.0,1.0,1.0,,,,,1,2.0,0
2017-02-06,199.91958618164062,57790100,2,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2017-02-07,199.9282684326172,57931200,2,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2017-02-08,200.19024658203125,51566200,2,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2017-02-09,201.3779296875,65955200,2,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2017-02-10,202.17257690429688,66015900,2,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0,0
2017-02-13,203.27293395996094,55182100,2,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2017-02-14,204.0850830078125,71109000,2,14,none event,none event,none event,0.016,none event,none event,none event,,,,,1.0,0.0,,,,,,,,,1,9.0,0
2017-02-15,205.1505126953125,86785800,2,15,none event,none event,0.025,none event,none event,none event,none event,1.0,1.0,,,,,,,,,,,,,1,10.0,0
2017-02-16,204.975830078125,84722400,2,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
2017-02-17,205.2989044189453,77204100,2,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2017-02-21,206.52154541015625,88946100,2,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2017-02-22,206.33815002441406,62115200,2,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2017-02-23,206.47789001464844,74615900,2,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2017-02-24,206.73983764648438,82381600,2,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2017-02-27,207.06295776367188,56515400,2,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2017-02-28,206.5040740966797,96961900,2,28,0.019,none event,none event,none event,none event,none event,none event,,,-1.0,0.0,,,,,,,,,,,1,18.0,0
2017-03-01,209.39463806152344,149158200,3,1,none event,none event,none event,none event,none event,0.017,none event,,,,,,,,,,,-1.0,0.0,,,1,19.0,0
2017-03-02,208.0759735107422,70246000,3,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,0
2017-03-03,208.20697021484375,81974300,3,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0,0
2017-03-06,207.58689880371094,55391500,3,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2017-03-07,206.9668731689453,65103700,3,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2017-03-08,206.5826873779297,78168800,3,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2017-03-09,206.84463500976562,90683900,3,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,1
2017-03-10,207.5694580078125,81991700,3,10,none event,235K,none event,none event,0.047,none event,none event,,,,,,,1.0,-1.0,0.0,-1.0,,,,,1,26.0,0
2017-03-13,207.6742706298828,57256800,3,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,1
2017-03-14,206.87957763671875,59880800,3,14,none event,none event,none event,0.022,none event,none event,none event,,,,,1.0,1.0,,,,,,,,,1,28.0,0
2017-03-15,208.66978454589844,96081800,3,15,none event,none event,0.027,none event,none event,none event,0.01,0.0,1.0,,,,,,,,,,,0.0,1.0,1,0.0,0
2017-03-16,208.2593231201172,78344000,3,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
