date,shiler pe,PE,
"Apr 29, 2025",  34.46,27.73,
"Apr 1, 2025",  34.54,27.8,
"Mar 1, 2025",  35.32,28.38,
"Feb 1, 2025",  37.58,30.15,
"Jan 1, 2025",  37.42,29.86,
"Dec 1, 2024",  37.90,30.01,
"Nov 1, 2024",  37.45,29.61,
"Oct 1, 2024",  36.59,28.92,
"Sep 1, 2024",  35.67,  28.07,
"Aug 1, 2024",  34.93,  27.55,
"Jul 1, 2024",  35.45,  28.06,
"Jun 1, 2024",  34.81,  27.64,
"May 1, 2024",  33.78,  26.93,
"Apr 1, 2024",  33.03,  26.41,
"Mar 1, 2024",  33.76,  27.02,
"Feb 1, 2024",  33.04,  26.14,
"Jan 1, 2024",  31.97,  25.01,
"Dec 1, 2023",  31.45,  24.35,
"Nov 1, 2023",  30.01,  23.51,
"Oct 1, 2023",  28.70,  22.78,
"Sep 1, 2023",  29.80,  23.93,
"Aug 1, 2023",  30.09,  24.16,
"Jul 1, 2023",  30.89,  24.76,
"Jun 1, 2023",  29.94,  24.01,
"May 1, 2023",  28.76,  23.15,
"Apr 1, 2023",  28.77,  23.27,
"Mar 1, 2023",  27.94,  22.66,
"Feb 1, 2023",  28.92,  23.40,
"Jan 1, 2023",  28.34,  22.82,
"Dec 1, 2022",  28.32,  22.65,
"Nov 1, 2022",  28.38,  22.07,
"Oct 1, 2022",  27.08,  20.44,
"Sep 1, 2022",  28.23,  20.58,
"Aug 1, 2022",  30.70,  22.03,
"Jul 1, 2022",  29.00,  20.53,
"Jun 1, 2022",  29.05,  20.28,
"May 1, 2022",  30.67,  20.81,
"Apr 1, 2022",  33.89,  22.40,
"Mar 1, 2022",  34.27,  22.19,
"Feb 1, 2022",  35.29,  22.42,
"Jan 1, 2022",  36.94,  23.11,
"Dec 1, 2021",  38.31,  23.63,
"Nov 1, 2021",  38.58,  24.52,
"Oct 1, 2021",  37.25,  24.39,
"Sep 1, 2021",  37.62,  25.35,
"Aug 1, 2021",  37.97,  26.23,
"Jul 1, 2021",  37.44,  26.56,
"Jun 1, 2021",  36.70,  26.70,
"May 1, 2021",  36.55,  28.05,
"Apr 1, 2021",  36.72,  29.92,
"Mar 1, 2021",  35.04,  30.50,
"Feb 1, 2021",  35.10,  33.24,
"Jan 1, 2021",  34.51,  35.96,
"Dec 1, 2020",  33.77,  39.26,
"Nov 1, 2020",  32.47,  37.16,
"Oct 1, 2020",  31.28,  35.30,
"Sep 1, 2020",  30.84,  34.27,
"Aug 1, 2020",  31.16,  34.41,
"Jul 1, 2020",  29.60,  32.44,
"Jun 1, 2020",  28.84,  31.29,
"May 1, 2020",  27.33,  27.82,
"Apr 1, 2020",  25.93,  24.97,
"Mar 1, 2020",  24.82,  22.80,
"Feb 1, 2020",  30.73,  26.42,
"Jan 1, 2020",  30.99,  24.88,
"Dec 1, 2019",  30.33,  22.78,
"Nov 1, 2019",  29.84,  22.62,
"Oct 1, 2019",  28.84,  22.04,
"Sep 1, 2019",  29.23,  22.44,
"Aug 1, 2019",  28.71,  21.67,
"Jul 1, 2019",  29.99,  22.28,
"Jun 1, 2019",  29.28,  21.37,
"May 1, 2019",  29.24,  21.15,
"Apr 1, 2019",  30.13,  21.56,
"Mar 1, 2019",  29.58,  20.86,
"Feb 1, 2019",  29.54,  20.60,
"Jan 1, 2019",  28.38,  19.60,
"Dec 1, 2018",  28.29,  19.39,
"Nov 1, 2018",  30.20,  20.67,
"Oct 1, 2018",  31.04,  21.25,
"Sep 1, 2018",  32.62,  22.25,
"Aug 1, 2018",  32.39,  22.37,
"Jul 1, 2018",  31.89,  22.33,
"Jun 1, 2018",  31.63,  22.49,
"May 1, 2018",  31.24,  22.49,
"Apr 1, 2018",  30.97,  22.53,
"Mar 1, 2018",  31.81,  23.41,
"Feb 1, 2018",  32.04,  23.82,
"Jan 1, 2018",  33.31,  24.97,
"Dec 1, 2017",  32.09,  24.25,
"Nov 1, 2017",  31.30,  23.81,
"Oct 1, 2017",  30.92,  23.67,
"Sep 1, 2017",  30.17,  23.28,
"Aug 1, 2017",  29.91,  23.16,
"Jul 1, 2017",  30.00,  23.36,
"Jun 1, 2017",  29.75,  23.40,
"May 1, 2017",  29.31,  23.31,
"Apr 1, 2017",  28.90,  23.24,
"Mar 1, 2017",  29.09,  23.60,
"Feb 1, 2017",  28.66,  23.68,
"Jan 1, 2017",  28.06,  23.59,
"Dec 1, 2016",  27.87,  23.76,
"Nov 1, 2016",  26.85,  23.35,
"Oct 1, 2016",  26.53,  23.57,
"Sep 1, 2016",  26.73,  24.22,
"Aug 1, 2016",  26.95,  24.57,
"Jul 1, 2016",  26.69,  24.52,
"Jun 1, 2016",  25.84,  23.97,
"May 1, 2016",  25.69,  23.81,
"Apr 1, 2016",  25.92,  23.97,
"Mar 1, 2016",  25.37,  23.39,
"Feb 1, 2016",  24.00,  22.02,
"Jan 1, 2016",  24.21,  22.18,
"Dec 1, 2015",  25.97,  23.74,
"Nov 1, 2015",  26.23,  23.67,
"Oct 1, 2015",  25.49,  22.68,
"Sep 1, 2015",  24.50,  21.45,
"Aug 1, 2015",  25.69,  22.15,
"Jul 1, 2015",  26.38,  22.40,
"Jun 1, 2015",  26.50,  22.12,
"May 1, 2015",  26.81,  21.92,
"Apr 1, 2015",  26.79,  21.42,
"Mar 1, 2015",  26.73,  20.96,
"Feb 1, 2015",  27.00,  20.77,
"Jan 1, 2015",  26.49,  20.02,
"Dec 1, 2014",  26.79,  20.08,
"Nov 1, 2014",  26.61,  19.75,
"Oct 1, 2014",  25.16,  18.50,
"Sep 1, 2014",  25.92,  18.81,
"Aug 1, 2014",  25.62,  18.68,
"Jul 1, 2014",  25.82,  18.96,
"Jun 1, 2014",  25.56,  18.88,
"May 1, 2014",  24.94,  18.46,
"Apr 1, 2014",  24.79,  18.35,
"Mar 1, 2014",  24.96,  18.48,
"Feb 1, 2014",  24.59,  18.06,
"Jan 1, 2014",  24.86,  18.15,
"Dec 1, 2013",  24.86,  18.04,
"Nov 1, 2013",  24.64,  18.15,
"Oct 1, 2013",  23.83,  17.86,
"Sep 1, 2013",  23.44,  17.88,
"Aug 1, 2013",  23.36,  17.91,
"Jul 1, 2013",  23.49,  18.12,
"Jun 1, 2013",  22.93,  17.80,
"May 1, 2013",  23.41,  18.25,
"Apr 1, 2013",  22.60,  17.69,
"Mar 1, 2013",  22.42,  17.68,
"Feb 1, 2013",  22.05,  17.32,
"Jan 1, 2013",  21.90,  17.03,
"Dec 1, 2012",  21.24,  16.44,
"Nov 1, 2012",  20.90,  16.12,
"Oct 1, 2012",  21.58,  16.62,
"Sep 1, 2012",  21.78,  16.69,
"Aug 1, 2012",  21.41,  16.14,
"Jul 1, 2012",  21.00,  15.55,
"Jun 1, 2012",  20.55,  15.05,
"May 1, 2012",  20.94,  15.22,
"Apr 1, 2012",  21.78,  15.70,
"Mar 1, 2012",  22.05,  15.69,
"Feb 1, 2012",  21.80,  15.37,
"Jan 1, 2012",  21.21,  14.87,
"Dec 1, 2011",  20.52,  14.30,
