ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc,isr_holiday
2017-01-03,2257.830078125,3773010000,1,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-04,2270.75,3768890000,1,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-05,2269.0,3785080000,1,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-06,2276.97998046875,3342080000,1,6,none event,156K,none event,none event,0.047,none event,none event,,,,,,,-1.0,-1.0,0.0,1.0,,,,,1,,0
2017-01-09,2268.89990234375,3219730000,1,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-10,2268.89990234375,3640560000,1,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-11,2275.320068359375,3625080000,1,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-12,2270.43994140625,3466220000,1,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-13,2274.639892578125,3090680000,1,13,none event,none event,none event,0.016,none event,none event,none event,,,,,0.0,1.0,,,,,,,,,1,,0
2017-01-17,2267.889892578125,3586950000,1,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-18,2271.889892578125,3317670000,1,18,none event,none event,0.021,none event,none event,none event,none event,0.0,1.0,,,,,,,,,,,,,1,,0
2017-01-19,2263.68994140625,3168390000,1,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-20,2271.31005859375,3536850000,1,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-23,2265.199951171875,3155240000,1,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-24,2280.070068359375,3816950000,1,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-25,2298.3701171875,3849340000,1,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-26,2296.679931640625,3611510000,1,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-01-27,2294.68994140625,3137420000,1,27,0.019,none event,none event,none event,none event,none event,none event,,,-1.0,-1.0,,,,,,,,,,,1,,1
2017-01-30,2280.89990234375,3595040000,1,30,none event,none event,none event,none event,none event,0.017,none event,,,,,,,,,,,0.0,0.0,,,1,,0
2017-01-31,2278.8701171875,4089730000,1,31,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,,0
2017-02-01,2279.550048828125,3919190000,2,1,none event,none event,none event,none event,none event,none event,0.0075,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2017-02-02,2280.85009765625,3809760000,2,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2017-02-03,2297.419921875,3605970000,2,3,none event,227K,none event,none event,0.048,none event,none event,,,,,,,1.0,1.0,1.0,1.0,,,,,1,2.0,0
2017-02-06,2292.56005859375,3112390000,2,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2017-02-07,2293.080078125,3452460000,2,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2017-02-08,2294.669921875,3611950000,2,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2017-02-09,2307.8701171875,3681600000,2,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2017-02-10,2316.10009765625,3496600000,2,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0,0
2017-02-13,2328.25,3352370000,2,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2017-02-14,2337.580078125,3528040000,2,14,none event,none event,none event,0.016,none event,none event,none event,,,,,1.0,0.0,,,,,,,,,1,9.0,0
2017-02-15,2349.25,3785870000,2,15,none event,none event,0.025,none event,none event,none event,none event,1.0,1.0,,,,,,,,,,,,,1,10.0,0
2017-02-16,2347.219970703125,3675900000,2,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
2017-02-17,2351.159912109375,3516830000,2,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2017-02-21,2365.3798828125,3587520000,2,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2017-02-22,2362.820068359375,3473170000,2,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2017-02-23,2363.81005859375,4021770000,2,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2017-02-24,2367.340087890625,3832410000,2,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2017-02-27,2369.75,3584680000,2,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2017-02-28,2363.639892578125,4212460000,2,28,0.019,none event,none event,none event,none event,none event,none event,,,-1.0,0.0,,,,,,,,,,,1,18.0,0
2017-03-01,2395.9599609375,4347630000,3,1,none event,none event,none event,none event,none event,0.017,none event,,,,,,,,,,,-1.0,0.0,,,1,19.0,0
2017-03-02,2381.919921875,3824030000,3,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,0
2017-03-03,2383.1201171875,3556670000,3,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0,0
2017-03-06,2375.31005859375,3251800000,3,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2017-03-07,2368.389892578125,3526300000,3,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2017-03-08,2362.97998046875,3814080000,3,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2017-03-09,2364.8701171875,3718450000,3,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,1
2017-03-10,2372.60009765625,3434400000,3,10,none event,235K,none event,none event,0.047,none event,none event,,,,,,,1.0,-1.0,0.0,-1.0,,,,,1,26.0,0
2017-03-13,2373.469970703125,3166650000,3,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,1
2017-03-14,2365.449951171875,3173760000,3,14,none event,none event,none event,0.022,none event,none event,none event,,,,,1.0,1.0,,,,,,,,,1,28.0,0
2017-03-15,2385.260009765625,3909490000,3,15,none event,none event,0.027,none event,none event,none event,0.01,0.0,1.0,,,,,,,,,,,0.0,1.0,1,0.0,0
2017-03-16,2381.3798828125,3368880000,3,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2017-03-17,2378.25,5179820000,3,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,2.0,0
2017-03-20,2373.469970703125,3061560000,3,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2017-03-21,2344.02001953125,4278890000,3,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2017-03-22,2348.449951171875,3575160000,3,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2017-03-23,2345.9599609375,3262400000,3,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2017-03-24,2343.97998046875,2978530000,3,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0,0
2017-03-27,2341.590087890625,3242300000,3,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2017-03-28,2358.570068359375,3369120000,3,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2017-03-29,2361.1298828125,3107670000,3,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2017-03-30,2368.06005859375,3159680000,3,30,0.021,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,11.0,0
2017-03-31,2362.719970703125,3356740000,3,31,none event,none event,none event,none event,none event,0.018,none event,,,,,,,,,,,1.0,0.0,,,1,12.0,0
2017-04-03,2358.840087890625,3418730000,4,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2017-04-04,2360.159912109375,3208340000,4,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2017-04-05,2352.949951171875,3780650000,4,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2017-04-06,2357.489990234375,3203250000,4,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2017-04-07,2355.5400390625,3054700000,4,7,none event,98K,none event,none event,0.045,none event,none event,,,,,,,-1.0,-1.0,-1.0,-1.0,,,,,1,17.0,0
2017-04-10,2357.159912109375,2792570000,4,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,1
2017-04-11,2353.780029296875,3120900000,4,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,1
2017-04-12,2344.929931640625,3201300000,4,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,1
2017-04-13,2328.949951171875,3146380000,4,13,none event,none event,none event,0.023,none event,none event,none event,,,,,-1.0,1.0,,,,,,,,,1,21.0,1
2017-04-17,2349.010009765625,2826890000,4,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,1
2017-04-18,2342.18994140625,3272210000,4,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2017-04-19,2338.169921875,3521160000,4,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2017-04-20,2355.840087890625,3648990000,4,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2017-04-21,2348.68994140625,3524160000,4,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0,0
2017-04-24,2374.14990234375,3711170000,4,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,0
2017-04-25,2388.610107421875,4005820000,4,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,28.0,0
2017-04-26,2387.449951171875,4111350000,4,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,29.0,0
2017-04-27,2388.77001953125,4099940000,4,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,30.0,0
2017-04-28,2384.199951171875,3721350000,4,28,0.007,none event,none event,none event,none event,none event,none event,,,-1.0,-1.0,,,,,,,,,,,1,31.0,0
2017-05-01,2388.330078125,3201500000,5,1,none event,none event,none event,none event,none event,0.016,none event,,,,,,,,,,,,-1.0,,,1,32.0,1
2017-05-02,2391.169921875,3861360000,5,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,33.0,1
2017-05-03,2388.1298828125,3896760000,5,3,none event,none event,none event,none event,none event,none event,0.01,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2017-05-04,2389.52001953125,4367860000,5,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2017-05-05,2399.2900390625,3543240000,5,5,none event,211K,none event,none event,0.044,none event,none event,,,,,,,1.0,1.0,-1.0,-1.0,,,,,1,2.0,0
2017-05-08,2399.3798828125,3429990000,5,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2017-05-09,2396.919921875,3657840000,5,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2017-05-10,2399.6298828125,3649370000,5,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2017-05-11,2394.43994140625,3727710000,5,11,none event,none event,none event,0.025,none event,none event,none event,,,,,1.0,1.0,,,,,,,,,1,6.0,0
2017-05-12,2390.89990234375,3304620000,5,12,none event,none event,0.022,none event,none event,none event,none event,-1.0,-1.0,,,,,,,,,,,,,1,7.0,0
2017-05-15,2402.320068359375,3490080000,5,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2017-05-16,2400.669921875,3421810000,5,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2017-05-17,2357.030029296875,4164760000,5,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2017-05-18,2365.719970703125,4319440000,5,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
