Release Date,Time,Actual,Forecast,Previous,
"Apr 04, 2025 (Mar)",15:30,4.20%,4.10%,4.10%,
"Mar 07, 2025 (Feb)",16:30,4.10%,4.00%,4.00%,
"Feb 07, 2025 (Jan)",16:30,4.00%,4.10%,4.10%,
"Jan 10, 2025 (Dec)",16:30,4.10%,4.20%,4.20%,
"Dec 06, 2024 (Nov)",16:30,4.20%,4.20%,4.10%,
"Nov 01, 2024 (Oct)",15:30,4.10%,4.10%,4.10%,
"Oct 04, 2024 (Sep)",15:30,4.10%,4.20%,4.20%,
"Sep 06, 2024 (Aug)",15:30,4.20%,4.20%,4.30%,
"Aug 02, 2024 (Jul)",15:30,4.30%,4.10%,4.10%,
"Jul 05, 2024 (Jun)",15:30,4.10%,4.00%,4.00%,
"Jun 07, 2024 (May)",15:30,4.00%,3.90%,3.90%,
"May 03, 2024 (Apr)",15:30,3.90%,3.80%,3.80%,
"Apr 05, 2024 (Mar)",15:30,3.80%,3.90%,3.90%,
"Mar 08, 2024 (Feb)",16:30,3.90%,3.70%,3.70%,
"Feb 02, 2024 (Jan)",16:30,3.70%,3.80%,3.70%,
"Jan 05, 2024 (Dec)",16:30,3.70%,3.80%,3.70%,
"Dec 08, 2023 (Nov)",16:30,3.70%,3.90%,3.90%,
"Nov 03, 2023 (Oct)",15:30,3.90%,3.80%,3.80%,
"Oct 06, 2023 (Sep)",15:30,3.80%,3.70%,3.80%,
"Sep 01, 2023 (Aug)",15:30,3.80%,3.50%,3.50%,
"Aug 04, 2023 (Jul)",15:30,3.50%,3.60%,3.60%,
"Jul 07, 2023 (Jun)",15:30,3.60%,3.60%,3.70%,
"Jun 02, 2023 (May)",15:30,3.70%,3.50%,3.40%,
"May 05, 2023 (Apr)",15:30,3.40%,3.60%,3.50%,
"Apr 07, 2023 (Mar)",15:30,3.50%,3.60%,3.60%,
"Mar 10, 2023 (Feb)",16:30,3.60%,3.40%,3.40%,
"Feb 03, 2023 (Jan)",16:30,3.40%,3.60%,3.50%,
"Jan 06, 2023 (Dec)",16:30,3.50%,3.70%,3.60%,
"Dec 02, 2022 (Nov)",15:30,3.70%,3.70%,3.70%,
"Nov 04, 2022 (Oct)",15:30,3.70%,3.60%,3.50%,
"Oct 07, 2022 (Sep)",15:30,3.50%,3.70%,3.70%,
"Sep 02, 2022 (Aug)",15:30,3.70%,3.50%,3.50%,
"Aug 05, 2022 (Jul)",15:30,3.50%,3.60%,3.60%,
"Jul 08, 2022 (Jun)",15:30,3.60%,3.60%,3.60%,
"Jun 03, 2022 (May)",15:30,3.60%,3.50%,3.60%,
"May 06, 2022 (Apr)",15:30,3.60%,3.50%,3.60%,
"Apr 01, 2022 (Mar)",15:30,3.60%,3.70%,3.80%,
"Mar 04, 2022 (Feb)",16:30,3.80%,3.90%,4.00%,
"Feb 04, 2022 (Jan)",16:30,4.00%,3.90%,3.90%,
"Jan 07, 2022 (Dec)",16:30,3.90%,4.10%,4.20%,
"Dec 03, 2021 (Nov)",16:30,4.20%,4.50%,4.60%,
"Nov 05, 2021 (Oct)",15:30,4.60%,4.70%,4.80%,
"Oct 08, 2021 (Sep)",15:30,4.80%,5.10%,5.20%,
"Sep 03, 2021 (Aug)",15:30,5.20%,5.20%,5.40%,
"Aug 06, 2021 (Jul)",15:30,5.40%,5.70%,5.90%,
"Jul 02, 2021 (Jun)",15:30,5.90%,5.70%,5.80%,
"Jun 04, 2021 (May)",15:30,5.80%,5.90%,6.10%,
"May 07, 2021 (Apr)",15:30,6.10%,5.80%,6.00%,
"Apr 02, 2021 (Mar)",15:30,6.00%,6.00%,6.20%,
"Mar 05, 2021 (Feb)",16:30,6.20%,6.30%,6.30%,
"Feb 05, 2021 (Jan)",16:30,6.30%,6.70%,6.70%,
"Jan 08, 2021 (Dec)",16:30,6.70%,6.80%,6.70%,
"Dec 04, 2020 (Nov)",16:30,6.70%,6.80%,6.90%,
"Nov 06, 2020 (Oct)",16:30,6.90%,7.70%,7.90%,
"Oct 02, 2020 (Sep)",15:30,7.90%,8.20%,8.40%,
"Sep 04, 2020 (Aug)",15:30,8.40%,9.80%,10.20%,
"Aug 07, 2020 (Jul)",15:30,10.20%,10.50%,11.10%,
"Jul 02, 2020 (Jun)",15:30,11.10%,12.30%,13.30%,
"Jun 05, 2020 (May)",15:30,13.30%,19.70%,14.70%,
"May 08, 2020 (Apr)",15:30,14.70%,16.00%,4.40%,
"Apr 03, 2020 (Mar)",15:30,4.40%,3.80%,3.50%,
"Mar 06, 2020 (Feb)",16:30,3.50%,3.60%,3.60%,
"Feb 07, 2020 (Jan)",16:30,3.60%,3.50%,3.50%,
"Jan 10, 2020 (Dec)",16:30,3.50%,3.50%,3.50%,
"Dec 06, 2019 (Nov)",16:30,3.50%,3.60%,3.60%,
"Nov 01, 2019 (Oct)",15:30,3.60%,3.60%,3.50%,
