,Predicted_LSTM,Predicted_GRU,Actual
0,4491.6025,4503.881,4487.4599609375
1,4511.166,4500.8203,4461.89990234375
2,4493.4814,4481.0684,4467.43994140625
3,4505.5635,4483.162,4505.10009765625
4,4528.3027,4540.023,4450.31982421875
5,4461.572,4460.994,4453.52978515625
6,4500.9907,4457.6025,4443.9501953125
7,4478.7036,4437.908,4402.2001953125
8,4436.642,4399.184,4330.0
9,4374.3486,4345.136,4320.06005859375
10,4331.0957,4327.5776,4337.43994140625
11,4365.7915,4368.538,4273.52978515625
12,4328.5845,4330.819,4274.509765625
13,4329.9062,4321.6763,4299.7001953125
14,4335.427,4330.706,4288.0498046875
15,4301.9053,4290.8647,4288.39013671875
16,4321.1924,4285.9185,4229.4501953125
17,4277.3564,4245.113,4263.75
18,4296.9155,4259.616,4258.18994140625
19,4289.8066,4259.8135,4308.5
20,4278.5815,4288.4272,4335.66015625
21,4312.6577,4308.371,4358.240234375
22,4356.8896,4368.2905,4376.9501953125
23,4397.9263,4422.4175,4349.60986328125
24,4362.7754,4374.346,4327.77978515625
25,4333.97,4331.029,4373.6298828125
26,4385.0063,4382.59,4373.2001953125
27,4381.303,4383.3784,4314.60009765625
28,4345.892,4325.222,4278.0
29,4298.8086,4288.2163,4224.16015625
30,4239.998,4245.3105,4217.0400390625
31,4212.5264,4239.384,4247.68017578125
32,4267.4688,4283.7607,4186.77001953125
33,4238.6016,4240.782,4137.22998046875
34,4181.9077,4172.0796,4117.3701171875
35,4133.5396,4133.7295,4166.81982421875
36,4177.678,4187.304,4193.7998046875
37,4211.199,4214.4756,4237.85986328125
38,4244.602,4249.35,4317.77978515625
39,4285.2803,4318.6533,4358.33984375
40,4326.548,4368.1655,4365.97998046875
41,4378.195,4381.0913,4378.3798828125
42,4422.0273,4433.3916,4382.77978515625
43,4465.4297,4461.1064,4347.35009765625
44,4396.4053,4379.9146,4415.240234375
45,4408.4272,4411.2764,4411.5498046875
46,4412.6157,4380.866,4495.7001953125
47,4447.398,4469.615,4502.8798828125
48,4485.4375,4527.9824,4508.240234375
49,4519.352,4569.5615,4514.02001953125
50,4533.5234,4590.0977,4547.3798828125
51,4567.088,4569.6875,4538.18994140625
52,4550.4053,4547.085,4556.6201171875
53,4577.73,4582.697,4559.33984375
54,4591.2847,4621.822,4550.43017578125
55,4581.0103,4567.465,4554.89013671875
56,4594.117,4588.5166,4550.580078125
57,4586.4907,4581.3926,4567.7998046875
58,4607.6367,4623.6357,4594.6298828125
59,4614.3145,4645.575,4569.77978515625
60,4605.1616,4573.495,4567.18017578125
61,4600.1836,4572.061,4549.33984375
62,4580.4575,4556.2803,4585.58984375
63,4616.8613,4619.7686,4604.3701171875
64,4622.8696,4656.2495,4622.43994140625
65,4645.461,4635.075,4643.7001953125
66,4667.6035,4688.5273,4707.08984375
67,4691.054,4741.357,4719.5498046875
68,4715.8145,4772.1216,4719.18994140625
69,4693.7544,4739.4053,4740.56005859375
70,4761.006,4747.842,4768.3701171875
71,4788.4375,4798.364,4698.35009765625
72,4725.236,4723.145,4746.75
73,4755.654,4767.335,4754.6298828125
74,4772.1724,4815.8647,4774.75
75,4800.079,4811.714,4781.580078125
76,4814.146,4852.539,4783.35009765625
77,4831.7266,4875.489,4769.830078125
78,4785.2725,4821.3057,4742.830078125
79,4778.607,4801.007,4704.81005859375
80,4755.7256,4768.7417,4688.68017578125
81,4722.484,4722.6675,4697.240234375
82,4731.875,4741.8076,4763.5400390625
83,4761.7837,4755.238,4756.5
84,4759.5576,4746.8423,4783.4501953125
85,4789.849,4784.401,4780.240234375
86,4784.7495,4806.0483,4783.830078125
87,4802.4526,4809.325,4765.97998046875
88,4791.57,4759.774,4739.2099609375
89,4773.2085,4731.9136,4780.93994140625
90,4796.297,4780.0596,4839.81005859375
91,4807.562,4832.4277,4850.43017578125
92,4843.513,4829.4424,4864.60009765625
93,4880.183,4887.9097,4868.5498046875
94,4907.258,4929.453,4894.16015625
95,4943.4395,4967.0483,4890.97021484375
96,4911.7876,4925.323,4927.93017578125
97,4931.25,4896.5225,4924.97021484375
98,4937.721,4912.8433,4845.64990234375
99,4877.404,4844.8193,4906.18994140625
100,4907.989,4899.2173,4958.60986328125
101,4925.6694,4958.16,4942.81005859375
102,4921.2773,4907.546,4954.22998046875
103,4953.8965,4961.1675,4995.06005859375
104,4988.789,5008.6772,4997.91015625
105,5015.903,5034.0205,5026.60986328125
106,5026.3257,5069.9062,5021.83984375
107,5011.966,4991.874,4953.169921875
108,4976.9375,4948.1323,5000.6201171875
109,5014.649,5001.604,5029.72998046875
110,5037.5054,5050.422,5005.56982421875
111,5004.5854,5022.357,4975.509765625
112,4988.155,4963.4927,4981.7998046875
113,5018.5215,5015.5093,5087.02978515625
114,5042.926,5081.8623,5088.7998046875
115,5055.545,5111.5674,5069.52978515625
116,5044.705,5045.034,5078.18017578125
117,5073.845,5082.743,5069.759765625
118,5093.232,5083.139,5096.27001953125
119,5102.958,5108.1567,5137.080078125
120,5110.546,5137.187,5130.9501953125
121,5117.567,5084.952,5078.64990234375
122,5099.169,5082.98,5104.759765625
123,5127.882,5118.453,5157.35986328125
124,5156.1196,5173.3022,5123.68994140625
125,5106.1465,5140.5166,5117.93994140625
126,5121.991,5097.4873,5175.27001953125
127,5159.3335,5165.136,5165.31005859375
128,5158.933,5154.929,5150.47998046875
129,5145.153,5149.7593,5117.08984375
130,5104.0166,5115.269,5149.419921875
131,5184.638,5142.571,5178.509765625
132,5194.5386,5185.9634,5224.6201171875
133,5208.9546,5230.3594,5241.52978515625
134,5229.635,5269.3057,5234.18017578125
135,5217.57,5256.3228,5218.18994140625
136,5239.93,5216.1694,5203.580078125
137,5231.698,5203.958,5248.490234375
138,5265.799,5251.3433,5254.35009765625
139,5281.8804,5294.7314,5243.77001953125
140,5271.6543,5237.903,5205.81005859375
141,5241.6157,5197.319,5211.490234375
142,5259.351,5236.7407,5147.2099609375
143,5162.616,5175.115,5204.33984375
144,5185.892,5227.7354,5202.39013671875
145,5213.314,5190.799,5209.91015625
146,5216.3203,5215.105,5160.64013671875
147,5177.946,5164.308,5199.06005859375
148,5194.596,5204.18,5123.41015625
149,5125.6465,5144.7944,5061.81982421875
150,5054.293,5054.0386,5051.41015625
151,5045.901,5052.17,5022.2099609375
152,5014.0435,5030.404,5011.1201171875
153,4991.468,5006.4375,4967.22998046875
154,4946.6406,4965.0317,5010.60009765625
155,5008.3804,5024.203,5070.5498046875
156,5054.2812,5081.2026,5071.6298828125
157,5082.9424,5113.0264,5048.419921875
158,5030.6777,5052.5024,5099.9599609375
159,5067.7007,5094.4434,5116.169921875
160,5108.219,5098.684,5035.68994140625
161,5047.982,5045.509,5018.39013671875
162,5005.8086,4994.7705,5064.2001953125
163,5047.677,5061.3647,5127.7900390625
164,5092.2217,5141.851,5180.740234375
165,5131.8594,5163.2583,5187.7001953125
166,5163.0273,5211.567,5187.669921875
167,5160.91,5199.38,5214.080078125
168,5200.436,5239.137,5222.68017578125
169,5215.802,5253.458,5221.419921875
170,5212.8975,5189.788,5246.68017578125
171,5237.8438,5228.5425,5308.14990234375
172,5270.0176,5297.581,5297.10009765625
173,5262.807,5291.114,5303.27001953125
174,5281.0513,5325.513,5308.1298828125
175,5322.2583,5332.6245,5321.41015625
176,5350.544,5372.2197,5307.009765625
